location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
US Diplomatic Post: New Delhi,pm25,83.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,87.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,84.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,85.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,95.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,96.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,110.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,64.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,48.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,61.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,62.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,63.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,64.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,78.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,95.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,109.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,155.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,183.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,158.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,138.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,132.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,124.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,127.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,131.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,140.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,132.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,144.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,110.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,122.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,117.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,67.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,57.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,54.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,68.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-26 11:30:00+00:00,28.63576,77.22445
